area,area_code,year,obesity,employment_rate,no_adults_in_employment,white,air_emission,median_income,house_price
Bexley 027,E02000090,2011,20.81447964,64.92312569,2.8,90.5569562,90.461401,37.55,233.75
Bexley 028,E02000091,2011,28.21782178,62.60363636,2.7,89.4649866,86.64003489,27.187,190
Bexley 029,E02000092,2011,24.25742574,60.50382366,7.3,87.4105198,81.63048802,29.625,210
Brent 001,E02000093,2011,20.72368421,61.40782673,4.8,27.9426629,91.11014237,33.472,320
Brent 002,E02000094,2011,23.57142857,60.09360374,5.6,37.4685571,93.57541427,30.685,308.5
Brent 003,E02000095,2011,23.21428571,57.75293008,4.4,27.8298559,92.41456691,33.359,311
Brent 004,E02000096,2011,18.53932584,63.69515819,2.1,32.2848118,89.600629,51.12,435
Brent 005,E02000097,2011,22.97297297,58.63802559,5.1,36.1241349,92.24617189,30.181,299.95
Brent 006,E02000098,2011,25,59.56617522,4.4,32.7920443,91.5524276,36.992,366.5
Brent 007,E02000099,2011,23.64864865,61.1945015,6,29.9988515,92.35265577,34.889,308
Brent 008,E02000100,2011,21.52466368,59.14010824,2.2,31.5808298,91.84710536,48.533,385
Brent 009,E02000101,2011,26.22377622,55.31788473,7.9,30.3364766,97.65313196,27.696,246
Brent 010,E02000102,2011,21.65242165,54.97054492,9.2,31.6681649,102.7660732,23.73,250
Brent 011,E02000103,2011,21.92192192,55.510796,8.7,42.2446406,103.6189001,26.806,292.5
Brent 012,E02000104,2011,24.13793103,57.6041459,4.6,29.8950791,98.02789406,32.803,323
Brent 013,E02000105,2011,23.62869198,57.99768183,4.9,24.2447294,96.13716251,30.264,250
Brent 014,E02000106,2011,30.43478261,56.78351619,9.7,37.6333562,115.8558996,24.454,289
Brent 015,E02000107,2011,19.81981982,62.89182182,5.2,53.469884,102.6119644,30.789,313
Brent 016,E02000108,2011,24.18604651,59.14484452,5.7,26.2150668,96.90454064,28.659,262.082
Brent 017,E02000109,2011,27.46478873,58.3654998,5,23.7327656,97.16870933,28.215,250
Brent 018,E02000110,2011,23.33333333,63.72078626,5.1,53.0728329,102.3662036,36.528,460
Brent 019,E02000111,2011,22.03947368,58.81086898,3.9,16.2134533,98.41671214,27.15,230.5
Brent 020,E02000112,2011,25.8302583,58.49107994,4.4,21.0665818,103.4512864,26.226,265
Brent 021,E02000113,2011,27.40384615,48.46224117,14.3,24.7436561,112.1830435,20.202,211
Brent 022,E02000114,2011,27.75119617,65.30783191,4.9,52.563818,106.8617379,28.588,276
Brent 023,E02000115,2011,29.00763359,67.12853774,3.2,62.1223022,109.4065654,38.186,357.5
Brent 024,E02000116,2011,24,58.59067017,8.9,40.7702686,103.2457474,23.147,227
Brent 025,E02000117,2011,28.27004219,51.68152109,11.4,31.124615,109.5640315,21.148,223
Brent 026,E02000118,2011,19.375,57.87121106,5.4,17.3156499,97.53042166,24.942,250
Brent 027,E02000119,2011,25.30864198,47.88902292,11.9,21.8543046,105.8244331,21.638,180
Brent 028,E02000120,2011,20.54794521,69.66144118,3.5,64.184936,110.3699496,36.708,360
Brent 029,E02000121,2011,18.41269841,59.27997705,4.6,16.0304489,97.58194531,26.397,220
Brent 030,E02000122,2011,20.41884817,65.97118728,3.9,58.2250278,101.7175548,47.307,407.5
Brent 031,E02000123,2011,31.0546875,57.42820324,9.2,39.7649297,120.5711213,23.115,236.5
Brent 032,E02000124,2011,17.82178218,70.02963695,4.3,64.8209744,113.5247134,42.553,460
Brent 033,E02000125,2011,18.21862348,67.37673528,4.8,53.8788719,111.650735,37.288,382.5
Brent 034,E02000126,2011,28.33333333,53.96206346,8.8,33.1189711,115.3724956,22.165,295
Bromley 001,E02000127,2011,23.27044025,59.17408091,8.9,80.5139691,87.5877759,25.946,180
Bromley 002,E02000128,2011,14.86486486,68.53252648,3.3,88.3328763,84.36126868,37.117,290
Bromley 004,E02000129,2011,21.07843137,63.23420074,5.5,76.8305439,86.16452808,34.183,264.6
Bromley 005,E02000130,2011,24.32432432,68.02403204,3.7,69.4970938,92.01193149,29.839,199.995
Bromley 006,E02000131,2011,16.07142857,68.69343891,5.8,62.6200581,94.52925442,36.073,235
Bromley 007,E02000132,2011,13.5483871,71.75538278,3.7,80.4832497,92.32527029,60.333,463.75
Bromley 008,E02000133,2011,12.10526316,67.04918033,1.6,87.9138039,84.64518943,35.942,231.25
Bromley 009,E02000134,2011,27.88461538,70.25049603,3.4,83.0223707,90.77943049,22.604,168.5
Bromley 010,E02000135,2011,15.78947368,56.56070578,10.5,56.5029792,93.20312448,34.834,335
Bromley 011,E02000136,2011,12.71186441,58.27116028,5.1,84.9511173,82.40405576,45.204,250
Bromley 012,E02000137,2011,11.21495327,70.21424839,2.3,84.8198313,86.94986247,49.094,281
Bromley 013,E02000138,2011,14.70588235,70.89209856,1.1,85.7358871,88.64672562,38.704,248.25
Bromley 014,E02000139,2011,21.03658537,72.26527302,2.9,83.15486,89.96328076,23.489,190
Bromley 015,E02000140,2011,21.97802198,56.52333028,9.5,84.3427434,84.23435553,32.858,238.998
Bromley 016,E02000141,2011,11.45374449,68.44333269,4.5,69.6253602,91.50444313,45.498,300
Bromley 018,E02000142,2011,18.57923497,68.45945029,2.6,85.2142426,90.15541233,44.725,275
Bromley 019,E02000143,2011,24.33333333,70.41474654,2.6,84.4745852,91.43408588,24.228,171.5
Bromley 020,E02000144,2011,17.90393013,71.90609453,2.3,80.4054832,90.53073462,37.735,250
Bromley 021,E02000145,2011,11.06870229,57.44031592,11.3,80.6579273,77.30087783,55.508,445
Bromley 022,E02000146,2011,10.90909091,70.96992227,1.9,86.9173474,86.60986039,50.081,440
Bromley 023,E02000147,2011,19.30501931,64.72162741,1.5,85.7573096,86.18274311,29.404,225
Bromley 024,E02000148,2011,13.8047138,65.1816609,2.1,88.6560364,80.92616485,43.369,333
Bromley 025,E02000149,2011,9.150326797,63.66624064,6.8,88.0902958,82.10799114,52.696,423
Bromley 026,E02000150,2011,14.58333333,67.44345442,2.3,83.5828045,85.26019157,29.543,265
Bromley 027,E02000151,2011,10.93247588,64.30027804,1.3,91.1011355,80.92450595,47.622,362.5
Bromley 028,E02000152,2011,11.2244898,61.3178634,7.9,83.9926963,81.27593727,40.86,271.75
Bromley 029,E02000153,2011,18.88888889,68.00437796,1.6,91.4893617,83.33993266,32.409,220
Bromley 030,E02000154,2011,13.38797814,66.35802469,2.8,86.9581606,82.47035688,46.521,351.116
Bromley 031,E02000155,2011,13.30935252,63.14837153,2.2,89.6307024,80.13209833,47.996,327.5
Bromley 032,E02000156,2011,20.97378277,66.97945124,1.4,89.3914338,84.84163732,33.394,285
Bromley 033,E02000157,2011,18.71921182,64.42307692,1.4,91.9763938,80.27842128,50.127,430
Bromley 034,E02000158,2011,10.52631579,60.04004004,6.5,87.7919609,77.46375133,44.672,335
